option,rate,run,window,timeout_s,ack_error,data_error,ack_loss,data_loss,completion_time_s
5,0,1,5,0.2,0.0,0.0,0.0,0.0,0.001300
5,0,2,5,0.2,0.0,0.0,0.0,0.0,0.001301
5,0,3,5,0.2,0.0,0.0,0.0,0.0,0.001250
5,0,4,5,0.2,0.0,0.0,0.0,0.0,0.001262
5,0,5,5,0.2,0.0,0.0,0.0,0.0,0.001358
5,5,1,5,0.2,0.0,0.0,0.0,0.05,0.001273
5,5,2,5,0.2,0.0,0.0,0.0,0.05,0.001288
5,5,3,5,0.2,0.0,0.0,0.0,0.05,0.219306
5,5,4,5,0.2,0.0,0.0,0.0,0.05,0.001375
5,5,5,5,0.2,0.0,0.0,0.0,0.05,0.001360
5,10,1,5,0.2,0.0,0.0,0.0,0.1,0.001273
5,10,2,5,0.2,0.0,0.0,0.0,0.1,0.204529
5,10,3,5,0.2,0.0,0.0,0.0,0.1,0.001381
5,10,4,5,0.2,0.0,0.0,0.0,0.1,0.209565
5,10,5,5,0.2,0.0,0.0,0.0,0.1,0.001174
5,15,1,5,0.2,0.0,0.0,0.0,0.15,0.204386
5,15,2,5,0.2,0.0,0.0,0.0,0.15,0.207944
5,15,3,5,0.2,0.0,0.0,0.0,0.15,0.001317
5,15,4,5,0.2,0.0,0.0,0.0,0.15,0.213258
5,15,5,5,0.2,0.0,0.0,0.0,0.15,0.208567
5,20,1,5,0.2,0.0,0.0,0.0,0.2,0.001368
5,20,2,5,0.2,0.0,0.0,0.0,0.2,1.251698
5,20,3,5,0.2,0.0,0.0,0.0,0.2,0.222321
5,20,4,5,0.2,0.0,0.0,0.0,0.2,0.214264
5,20,5,5,0.2,0.0,0.0,0.0,0.2,0.202866
5,25,1,5,0.2,0.0,0.0,0.0,0.25,0.622684
5,25,2,5,0.2,0.0,0.0,0.0,0.25,0.423157
5,25,3,5,0.2,0.0,0.0,0.0,0.25,2.322129
5,25,4,5,0.2,0.0,0.0,0.0,0.25,0.633148
5,25,5,5,0.2,0.0,0.0,0.0,0.25,0.207983
5,30,1,5,0.2,0.0,0.0,0.0,0.3,0.413447
5,30,2,5,0.2,0.0,0.0,0.0,0.3,0.617142
5,30,3,5,0.2,0.0,0.0,0.0,0.3,0.218836
5,30,4,5,0.2,0.0,0.0,0.0,0.3,0.429443
5,30,5,5,0.2,0.0,0.0,0.0,0.3,1.072961
5,35,1,5,0.2,0.0,0.0,0.0,0.35,1.060487
5,35,2,5,0.2,0.0,0.0,0.0,0.35,0.629640
5,35,3,5,0.2,0.0,0.0,0.0,0.35,0.865359
5,35,4,5,0.2,0.0,0.0,0.0,0.35,0.634237
5,35,5,5,0.2,0.0,0.0,0.0,0.35,1.056286
5,40,1,5,0.2,0.0,0.0,0.0,0.4,1.248481
5,40,2,5,0.2,0.0,0.0,0.0,0.4,0.840001
5,40,3,5,0.2,0.0,0.0,0.0,0.4,0.629495
5,40,4,5,0.2,0.0,0.0,0.0,0.4,1.463496
5,40,5,5,0.2,0.0,0.0,0.0,0.4,1.047771
5,45,1,5,0.2,0.0,0.0,0.0,0.45,1.251818
5,45,2,5,0.2,0.0,0.0,0.0,0.45,0.418699
5,45,3,5,0.2,0.0,0.0,0.0,0.45,0.616943
5,45,4,5,0.2,0.0,0.0,0.0,0.45,1.254540
5,45,5,5,0.2,0.0,0.0,0.0,0.45,1.263650
5,50,1,5,0.2,0.0,0.0,0.0,0.5,0.646530
5,50,2,5,0.2,0.0,0.0,0.0,0.5,2.109903
5,50,3,5,0.2,0.0,0.0,0.0,0.5,2.310886
5,50,4,5,0.2,0.0,0.0,0.0,0.5,1.251648
5,50,5,5,0.2,0.0,0.0,0.0,0.5,1.249190
5,55,1,5,0.2,0.0,0.0,0.0,0.55,1.658762
5,55,2,5,0.2,0.0,0.0,0.0,0.55,2.124706
5,55,3,5,0.2,0.0,0.0,0.0,0.55,2.747478
5,55,4,5,0.2,0.0,0.0,0.0,0.55,2.100502
5,55,5,5,0.2,0.0,0.0,0.0,0.55,3.346447
5,60,1,5,0.2,0.0,0.0,0.0,0.6,3.130476
5,60,2,5,0.2,0.0,0.0,0.0,0.6,0.633767
5,60,3,5,0.2,0.0,0.0,0.0,0.6,3.144126
5,60,4,5,0.2,0.0,0.0,0.0,0.6,1.873833
5,60,5,5,0.2,0.0,0.0,0.0,0.6,2.114610
5,65,1,5,0.2,0.0,0.0,0.0,0.65,7.064156
5,65,2,5,0.2,0.0,0.0,0.0,0.65,3.549152
5,65,3,5,0.2,0.0,0.0,0.0,0.65,3.568455
5,65,4,5,0.2,0.0,0.0,0.0,0.65,3.347770
5,65,5,5,0.2,0.0,0.0,0.0,0.65,3.735753
5,70,1,5,0.2,0.0,0.0,0.0,0.7,4.003026
5,70,2,5,0.2,0.0,0.0,0.0,0.7,5.079306
5,70,3,5,0.2,0.0,0.0,0.0,0.7,5.261607
5,70,4,5,0.2,0.0,0.0,0.0,0.7,5.882520
5,70,5,5,0.2,0.0,0.0,0.0,0.7,4.156424
5,75,1,5,0.2,0.0,0.0,0.0,0.75,4.407996
5,75,2,5,0.2,0.0,0.0,0.0,0.75,4.160576
5,75,3,5,0.2,0.0,0.0,0.0,0.75,5.445471
5,75,4,5,0.2,0.0,0.0,0.0,0.75,4.356418
5,75,5,5,0.2,0.0,0.0,0.0,0.75,5.647895
5,80,1,5,0.2,0.0,0.0,0.0,0.8,6.241528
5,80,2,5,0.2,0.0,0.0,0.0,0.8,10.000000
5,80,3,5,0.2,0.0,0.0,0.0,0.8,10.000000
5,80,4,5,0.2,0.0,0.0,0.0,0.8,10.000000
5,80,5,5,0.2,0.0,0.0,0.0,0.8,4.005554
